P1_HP,P1_Atk,P1_Def,P1_SpAtk,P1_SpDef,P1_Speed,P2_HP,P2_Atk,P2_Def,P2_SpAtk,P2_SpDef,P2_Speed,Vantagem_Tipo_P1,Vantagem_Tipo_P2,Vitoria_P1
394,240,240,331,240,339,424,251,273,383,295,174,0.5,0.5,0
284,207,196,251,196,251,334,295,262,273,262,196,0.5,0.5,0
364,372,293,240,320,350,334,306,218,295,207,229,1.0,1.0,1
368,320,221,207,221,311,294,328,405,251,405,207,1.0,0.0,1
394,251,284,350,350,174,304,196,196,262,196,262,1.0,1.0,1
280,174,199,174,199,240,300,262,174,174,174,207,1.0,1.0,0
340,383,251,251,361,284,394,317,317,317,317,317,2.0,1.0,1
340,249,240,353,240,366,294,273,190,262,229,291,1.0,0.5,1
384,317,254,207,251,245,292,192,181,243,203,262,1.0,1.0,1
384,346,284,328,251,295,422,249,309,335,291,207,1.0,2.0,0
384,328,306,383,295,306,340,471,317,251,361,350,2.0,1.0,1
384,394,302,262,346,337,264,163,185,207,174,152,1.0,4.0,1
384,328,306,306,284,229,370,304,265,489,265,291,1.0,0.5,1
284,251,185,196,185,273,358,372,306,240,306,214,1.0,1.0,0
290,172,177,172,177,190,444,372,372,372,372,372,1.0,1.0,0
454,394,306,394,306,317,294,240,207,163,207,229,1.0,1.0,1
364,271,271,386,364,240,324,240,218,196,218,273,1.0,2.0,0
324,339,240,372,240,339,308,306,229,236,245,240,1.0,1.0,1
364,284,284,229,229,306,386,392,306,267,306,346,0.5,2.0,0
294,216,216,251,251,207,340,295,251,471,405,328,2.0,2.0,0
324,196,284,240,207,196,224,229,174,185,207,306,1.0,1.0,1
382,427,306,339,284,309,346,317,295,350,317,282,1.0,4.0,0
324,218,262,218,306,251,404,403,350,317,328,243,2.0,2.0,0
324,238,295,282,339,188,360,273,273,262,262,223,1.0,4.0,0
364,372,282,317,282,262,422,225,212,388,397,335,1.0,1.0,1
318,289,317,229,273,188,414,361,375,251,313,309,0.5,2.0,0
364,289,291,328,328,284,360,293,280,348,295,328,1.0,2.0,0
324,207,350,284,372,306,260,163,163,207,185,196,1.0,1.0,1
322,271,218,185,218,185,344,229,317,317,350,251,2.0,1.0,1
304,262,218,218,218,196,358,238,218,256,247,210,2.0,1.0,1
364,306,284,394,350,350,384,333,269,280,251,262,1.0,0.5,1
324,295,218,317,295,350,354,306,218,350,284,317,1.0,2.0,0
314,287,240,218,262,322,374,405,282,295,339,287,1.0,2.0,0
484,262,207,295,218,207,284,174,174,229,174,295,1.0,1.0,1
474,423,423,284,251,183,314,229,207,247,207,207,0.5,1.0,1
264,232,185,163,185,267,364,383,273,196,317,295,1.0,2.0,0
324,229,427,273,438,196,434,306,262,238,306,251,1.0,0.5,1
312,280,335,225,207,157,314,196,218,251,295,196,1.0,1.0,1
370,284,273,262,262,331,324,295,196,174,207,258,1.0,0.0,1
304,227,227,254,232,196,306,251,251,284,273,238,1.0,0.5,1
308,306,229,236,245,240,264,185,174,328,185,284,1.0,1.0,1
344,262,262,262,262,262,454,328,284,295,273,229,1.0,1.0,0
294,295,262,196,196,240,362,291,328,295,339,280,1.0,1.0,0
324,196,218,273,295,317,364,328,262,240,262,317,0.5,1.0,0
304,251,207,295,251,317,424,284,306,317,306,251,2.0,2.0,0
444,372,372,372,372,372,304,251,207,218,218,207,1.0,1.0,1
414,317,273,295,273,271,344,262,262,262,262,262,1.0,1.0,1
384,317,254,207,251,245,294,295,218,229,218,251,1.0,2.0,0
304,249,218,207,218,199,284,251,174,207,185,240,1.0,4.0,0
420,394,317,284,295,333,384,328,306,383,295,306,1.0,1.0,1
404,295,284,471,328,438,274,262,229,207,229,163,1.0,1.0,1
346,269,302,372,304,238,314,247,306,218,284,201,0.5,2.0,0
314,218,207,405,317,372,280,199,196,218,251,251,1.0,1.0,1
384,350,284,328,284,317,334,361,251,273,317,251,1.0,1.0,1
384,328,306,306,284,229,284,185,185,218,196,306,1.0,1.0,1
324,240,240,339,339,339,324,251,284,482,317,394,2.0,2.0,0
364,328,262,240,262,317,334,240,207,273,229,262,1.0,1.0,1
308,317,229,236,245,229,280,188,192,179,188,234,2.0,1.0,1
324,289,207,207,207,271,344,295,229,295,317,295,1.0,2.0,0
288,174,192,174,192,179,344,295,262,229,240,284,0.5,0.5,0
312,207,196,185,207,185,294,306,152,251,152,251,1.0,1.0,0
324,295,260,240,260,278,304,295,383,295,361,152,0.0,1.0,0
328,229,223,348,315,348,394,427,394,372,306,372,1.0,1.0,0
414,416,229,174,229,317,360,337,280,458,361,328,1.0,2.0,0
474,295,196,196,295,119,254,185,262,317,229,207,1.0,1.0,1
322,350,438,207,216,185,284,207,207,271,227,218,2.0,2.0,1
284,196,218,174,174,174,384,317,339,471,350,207,0.5,1.0,0
292,192,181,243,203,262,308,234,273,185,218,210,1.0,2.0,0
394,405,284,350,284,328,344,339,383,251,273,207,1.0,2.0,0
354,284,295,350,306,218,424,251,273,383,295,174,1.0,2.0,0
314,196,218,251,295,196,294,240,179,218,179,276,1.0,2.0,0
324,174,174,188,232,218,350,256,273,287,328,348,1.0,2.0,0
344,317,361,372,218,295,398,471,240,251,218,236,2.0,0.5,1
264,196,229,196,229,240,324,280,240,196,221,221,2.0,1.0,1
404,119,119,141,251,174,324,262,218,328,218,251,1.0,1.0,0
394,348,339,273,295,232,314,317,361,207,207,185,4.0,0.5,1
324,240,240,185,185,174,364,350,372,394,306,262,1.0,1.0,0
364,295,273,350,328,262,284,207,185,251,229,262,2.0,1.0,1
324,229,240,317,262,381,354,350,339,174,262,328,2.0,1.0,1
404,405,361,295,328,405,294,218,207,361,229,317,1.0,1.0,1
354,324,247,324,247,331,274,229,196,218,218,306,1.0,0.5,1
416,306,394,306,447,350,354,295,548,229,251,174,0.5,1.0,0
260,240,174,196,174,289,314,251,185,240,174,295,1.0,0.5,1
338,234,229,278,229,359,304,214,203,210,199,240,1.0,1.0,1
324,196,240,196,240,185,354,306,306,416,306,361,0.5,2.0,0
420,258,207,174,196,203,414,339,273,251,328,218,1.0,1.0,0
284,284,185,185,207,262,364,372,293,240,320,350,2.0,1.0,0
324,289,207,207,207,271,278,163,199,163,199,163,1.0,2.0,1
324,295,196,174,207,258,444,328,295,174,295,207,1.0,1.0,0
294,262,247,174,207,212,302,254,262,205,229,221,1.0,1.0,0
360,262,243,218,243,328,374,295,328,317,405,262,1.0,1.0,0
274,229,196,207,196,240,284,170,170,212,223,218,1.0,1.0,1
394,350,317,196,317,229,264,284,306,229,207,229,0.5,1.0,1
354,383,284,240,328,295,280,212,185,181,185,234,1.0,1.0,1
324,262,339,262,372,273,330,247,212,199,199,271,2.0,2.0,1
278,229,262,174,229,251,340,267,280,192,201,179,1.0,1.0,0
284,229,262,207,240,174,358,238,218,256,247,210,4.0,0.5,1
294,185,207,245,225,185,416,526,328,447,328,394,1.0,1.0,0
636,328,375,309,317,295,484,295,317,427,317,394,2.0,2.0,1
274,210,183,185,207,152,304,212,218,234,218,251,1.0,1.0,0
290,172,397,172,397,190,650,331,225,322,225,203,0.0,2.0,0
304,212,218,234,218,251,404,328,383,350,218,218,2.0,0.5,1
354,260,267,359,328,337,404,372,372,438,328,306,1.0,1.0,0
338,207,238,247,196,188,382,383,306,361,284,331,1.0,2.0,0
384,383,306,295,306,328,324,207,262,273,295,229,1.0,2.0,1
284,196,185,218,328,262,404,383,328,229,295,185,2.0,0.5,0
334,273,262,317,262,317,344,240,273,350,273,306,2.0,0.5,1
300,214,214,214,214,214,340,267,280,192,201,179,1.0,1.0,0
354,284,317,306,328,218,376,287,322,287,344,203,1.0,1.0,0
436,229,295,344,317,172,384,306,328,284,306,229,1.0,1.0,0
344,311,251,284,229,324,394,361,306,284,306,240,2.0,1.0,1
384,350,284,328,284,317,404,119,119,141,251,174,1.0,1.0,1
320,262,207,196,207,201,318,289,317,229,273,188,1.0,1.0,0
364,240,306,240,262,218,384,328,240,306,240,284,2.0,1.0,1
384,361,306,214,258,271,454,372,306,482,328,317,2.0,1.0,1
344,273,218,207,218,218,344,306,207,141,207,218,2.0,1.0,1
274,240,205,196,227,229,354,317,240,251,240,361,1.0,1.0,0
398,344,331,388,304,282,384,295,295,383,328,317,0.5,1.0,0
374,372,262,218,240,328,284,172,207,172,207,188,2.0,0.5,1
364,372,284,372,284,328,284,243,227,207,207,251,2.0,1.0,1
274,196,328,306,229,185,404,328,328,328,328,328,1.0,4.0,0
354,284,229,163,185,185,260,240,174,196,174,289,0.0,1.0,0
304,317,504,295,207,262,334,229,229,207,289,280,1.0,1.0,1
360,394,353,394,295,328,284,174,174,229,174,295,1.0,1.0,1
304,273,306,130,185,196,304,339,282,185,350,276,1.0,4.0,0
368,361,271,273,249,306,344,293,262,251,262,221,2.0,1.0,1
334,240,350,394,317,251,410,240,386,284,386,218,1.0,1.0,0
334,449,372,251,306,339,464,416,339,207,284,218,1.0,1.0,0
344,273,218,207,218,218,264,251,328,207,163,196,1.0,1.0,0
492,372,240,196,240,218,416,526,328,447,328,394,0.5,2.0,0
274,199,207,172,196,152,334,269,273,212,295,295,1.0,1.0,0
354,300,247,300,247,324,334,291,234,317,295,339,1.0,4.0,0
324,295,240,273,218,383,410,240,298,240,298,218,1.0,1.0,0
348,331,328,218,322,258,360,337,280,458,361,328,1.0,1.0,1
294,295,218,229,218,251,360,293,280,348,295,328,1.0,1.0,0
384,383,306,295,306,328,348,344,383,251,262,265,1.0,0.0,1
354,284,295,350,306,218,384,328,240,306,240,284,2.0,1.0,1
334,273,207,185,207,229,364,328,548,218,328,218,1.0,2.0,0
334,350,394,240,251,317,340,256,229,203,229,278,0.5,2.0,0
284,207,185,174,196,229,324,196,240,317,240,229,1.0,1.0,0
354,383,262,383,262,361,354,328,317,196,262,350,1.0,1.0,1
314,262,207,262,218,240,294,163,218,163,163,185,2.0,1.0,1
584,181,236,181,236,181,304,218,438,218,438,218,1.0,1.0,0
360,240,295,405,309,188,364,273,438,273,438,218,1.0,1.0,0
404,262,262,251,251,207,274,196,328,306,229,185,0.5,1.0,0
290,174,229,196,251,322,404,504,460,438,306,306,4.0,1.0,0
312,247,223,291,232,322,274,185,196,185,229,218,0.5,2.0,0
434,416,394,229,229,196,284,196,284,196,196,152,1.0,4.0,1
398,357,348,454,388,278,284,185,229,251,273,141,1.0,1.0,1
354,383,416,240,306,196,294,273,190,262,229,291,2.0,1.0,1
314,262,196,240,196,196,284,185,229,251,273,141,2.0,1.0,1
354,262,262,324,262,313,324,218,196,295,273,317,1.0,2.0,0
364,339,251,240,273,394,354,416,251,355,251,350,2.0,2.0,1
324,273,196,218,196,295,364,218,328,328,548,218,2.0,1.0,1
294,216,216,251,251,207,354,328,372,163,251,251,0.5,2.0,0
344,339,339,218,196,152,398,471,240,251,218,236,1.0,1.0,0
354,262,262,324,262,313,364,372,293,240,320,350,2.0,1.0,1
412,309,247,309,269,258,294,218,203,196,192,245,1.0,1.0,1
354,273,240,291,240,240,364,328,548,218,328,218,2.0,1.0,0
340,218,240,372,317,289,286,249,207,218,218,218,2.0,2.0,1
364,223,218,306,218,304,314,254,205,205,232,295,1.0,1.0,1
336,199,278,243,300,159,404,328,328,328,328,328,2.0,1.0,0
244,130,229,141,152,284,384,311,300,273,295,276,2.0,1.0,0
424,295,317,284,317,218,404,269,291,269,291,229,1.0,1.0,1
404,278,278,390,390,306,284,251,196,284,196,251,1.0,2.0,1
384,394,273,273,273,229,294,218,207,361,229,317,0.0,1.0,0
404,119,119,141,251,174,314,196,295,284,339,196,1.0,1.0,0
354,328,317,196,262,350,384,394,284,251,295,229,1.0,2.0,0
454,328,284,295,273,229,382,383,306,361,284,331,1.0,1.0,0
314,207,207,163,163,141,360,293,280,348,295,328,1.0,1.0,0
308,251,218,207,218,192,304,196,196,262,196,262,1.0,0.5,1
338,289,245,210,214,203,350,317,245,295,251,295,2.0,1.0,1
380,344,377,271,273,249,314,394,361,218,218,273,2.0,0.5,1
404,390,306,278,278,390,334,262,240,251,251,361,2.0,1.0,1
304,212,218,234,218,251,374,372,284,295,273,295,2.0,1.0,0
354,350,339,174,262,328,364,317,361,394,361,251,1.0,2.0,0
296,300,240,174,196,234,384,295,306,328,383,306,1.0,1.0,0
484,262,207,295,218,207,280,188,192,179,188,234,1.0,1.0,1
304,245,196,245,196,218,320,317,236,262,236,322,1.0,1.0,0
324,273,328,229,284,218,280,174,199,174,199,240,1.0,1.0,1
394,273,284,328,350,174,394,317,350,339,350,295,1.0,1.0,0
354,273,273,383,317,196,328,405,317,258,289,251,2.0,0.5,1
338,304,364,282,364,181,316,243,251,214,207,192,1.0,0.5,1
434,207,152,207,163,152,264,174,201,174,201,262,1.0,1.0,1
304,225,214,225,214,249,286,232,196,245,205,265,0.5,2.0,0
326,293,251,262,262,262,324,317,284,240,284,174,1.0,1.0,0
364,405,394,317,306,262,314,317,229,185,273,361,2.0,2.0,1
284,196,229,196,262,229,314,254,205,205,232,295,1.0,1.0,0
294,262,247,174,207,212,368,320,221,207,221,311,1.0,1.0,0
324,218,262,284,284,438,362,339,262,427,284,331,1.0,1.0,0
284,229,174,174,174,295,444,311,251,328,273,280,1.0,1.0,0
294,225,262,196,240,201,414,174,339,416,339,229,1.0,4.0,0
340,262,311,218,399,201,264,174,174,174,174,174,2.0,1.0,1
328,278,245,218,201,251,278,163,199,163,199,163,2.0,0.5,1
394,381,280,260,265,236,270,210,196,155,163,207,1.0,1.0,1
280,212,185,181,185,234,364,394,240,196,284,372,2.0,1.0,0
294,306,152,251,152,251,294,218,203,196,192,245,1.0,1.0,1
350,361,240,240,240,306,354,284,240,251,306,333,1.0,1.0,1
344,203,225,203,225,196,404,251,240,427,284,394,0.5,1.0,0
294,240,196,262,218,207,344,339,383,251,273,207,1.0,2.0,0
344,262,262,262,262,262,384,240,240,196,196,196,2.0,1.0,1
292,214,251,218,249,203,344,295,251,339,295,372,0.5,2.0,0
324,273,328,229,284,218,384,317,295,229,251,262,2.0,0.5,1
420,355,368,258,267,212,344,339,383,251,273,207,1.0,1.0,1
244,130,614,130,614,119,352,214,276,291,287,337,2.0,1.0,1
398,331,335,344,331,243,364,284,284,284,284,284,1.0,1.0,1
284,284,328,174,174,152,368,375,370,260,238,265,1.0,1.0,0
352,361,350,405,328,210,340,295,251,471,405,328,1.0,1.0,1
344,350,262,361,262,306,384,328,240,306,240,284,2.0,0.5,1
304,229,218,188,174,203,294,229,194,185,194,201,1.0,1.0,1
344,317,251,295,251,375,416,284,350,372,284,205,2.0,2.0,0
380,309,289,262,383,326,364,405,394,317,306,262,0.5,2.0,0
382,427,306,339,284,309,404,218,218,298,320,262,1.0,1.0,1
344,405,317,207,262,295,304,240,317,372,262,262,0.5,2.0,0
314,361,262,284,262,306,304,218,196,174,174,218,2.0,2.0,1
394,449,348,262,394,287,1,306,207,174,174,196,2.0,2.0,1
374,405,282,295,339,287,394,251,350,240,394,251,2.0,0.5,1
404,372,328,438,372,306,264,185,174,328,185,284,1.0,1.0,1
386,306,342,394,342,278,376,258,267,348,254,342,0.5,1.0,0
358,295,221,229,221,251,394,350,317,196,317,229,1.0,1.0,0
414,361,375,251,313,309,334,394,240,317,350,251,1.0,0.25,1
344,240,383,361,262,229,324,306,416,218,218,196,2.0,1.0,1
364,364,273,251,273,370,320,262,207,196,207,201,0.5,2.0,0
324,218,416,218,416,240,334,383,328,240,262,262,0.5,2.0,0
344,361,240,361,240,229,284,207,196,229,196,293,0.5,4.0,0
584,181,236,181,236,181,364,317,361,394,361,251,0.5,1.0,0
378,240,317,401,309,293,284,284,185,185,207,262,1.0,0.0,1
364,328,372,416,438,350,324,229,218,196,229,207,2.0,2.0,1
394,317,350,339,350,295,314,251,207,218,207,218,1.0,1.0,1
344,328,361,174,251,174,324,196,284,240,207,196,1.0,2.0,0
282,223,203,240,218,251,384,251,251,196,196,141,0.5,2.0,0
314,262,229,196,229,295,394,350,317,196,317,229,1.0,1.0,0
394,381,280,260,265,236,334,394,240,273,240,273,2.0,0.25,1
334,240,229,317,229,306,322,271,218,185,218,185,2.0,1.0,1
478,410,344,357,304,322,304,185,284,218,306,174,1.0,1.0,1
354,328,372,163,251,251,504,460,328,317,251,328,1.0,1.0,0
324,245,247,284,284,240,364,372,293,240,320,350,2.0,0.25,1
324,317,260,251,282,284,350,276,273,287,328,328,1.0,1.0,0
326,280,317,232,236,234,304,267,185,185,185,251,2.0,1.0,1
304,247,443,225,421,185,362,361,262,383,284,353,1.0,1.0,0
320,317,427,218,339,174,304,185,229,163,163,141,1.0,0.5,1
284,174,174,196,218,174,354,324,247,324,247,331,2.0,1.0,0
254,152,141,339,229,306,364,284,284,284,284,284,1.0,1.0,0
340,229,229,218,218,201,378,240,317,401,309,293,0.5,1.0,0
404,295,284,471,328,438,384,383,306,295,306,328,2.0,1.0,1
376,287,322,287,344,203,254,185,196,152,174,284,2.0,2.0,1
364,295,317,174,174,163,354,229,262,229,317,350,2.0,4.0,0
312,254,262,205,229,210,474,423,423,284,251,183,1.0,1.0,0
312,280,335,225,207,157,274,328,240,218,262,350,2.0,2.0,1
352,346,401,291,251,179,360,223,240,247,251,159,1.0,1.0,1
364,273,438,273,438,218,344,251,251,229,229,306,1.0,1.0,1
304,273,273,251,251,218,324,273,328,229,284,218,2.0,1.0,1
288,174,192,174,192,179,334,383,328,240,262,262,0.5,1.0,0
324,284,218,218,218,196,336,251,214,245,234,223,1.0,1.0,1
412,309,247,309,269,258,324,218,218,240,262,218,1.0,1.0,1
386,267,306,392,306,346,264,207,229,262,229,295,1.0,0.5,1
306,251,251,284,273,238,326,280,317,232,236,234,2.0,1.0,1
384,317,317,262,306,262,300,214,214,214,214,214,2.0,1.0,1
504,328,361,251,251,185,344,350,328,218,240,218,1.0,0.5,1
364,427,438,339,350,350,294,240,196,262,218,207,1.0,2.0,1
326,267,234,229,229,251,304,295,229,251,251,306,1.0,2.0,0
464,295,284,295,317,240,284,174,179,218,223,251,0.5,1.0,1
308,317,229,236,245,229,344,229,317,317,350,251,0.5,2.0,0
354,317,383,207,273,317,288,196,229,196,207,214,1.0,1.0,1
354,229,262,229,317,350,284,172,207,172,207,188,2.0,1.0,1
312,207,196,185,207,185,394,159,214,159,214,159,1.0,1.0,1
224,229,163,185,163,317,326,284,247,240,247,291,0.5,2.0,0
316,284,359,381,240,408,404,218,218,298,320,262,2.0,1.0,1
344,295,251,339,295,372,370,284,284,405,284,375,0.5,2.0,0
334,276,293,227,320,339,300,267,214,267,214,214,1.0,1.0,1
384,317,295,229,251,262,714,130,130,273,405,229,1.0,0.5,1
314,229,207,247,207,207,478,410,344,357,304,322,1.0,1.0,0
386,267,306,392,306,346,324,196,284,240,207,196,0.5,2.0,0
264,185,174,328,185,284,358,372,306,240,306,214,1.0,1.0,0
364,284,284,284,284,284,404,394,328,247,240,322,1.0,1.0,0
374,306,284,262,284,394,286,185,207,236,221,174,2.0,1.0,1
328,205,218,205,218,229,304,251,295,185,185,229,2.0,2.0,0
324,229,306,427,306,284,354,324,247,324,247,331,1.0,2.0,0
288,174,192,174,192,179,370,229,306,394,287,298,1.0,2.0,0
464,262,185,262,185,240,376,287,322,287,344,203,1.0,2.0,0
354,284,317,306,328,218,332,302,218,302,218,342,1.0,1.0,1
354,300,247,300,247,324,340,256,229,203,229,278,1.0,1.0,1
344,207,196,207,196,273,344,306,262,240,240,262,1.0,1.0,0
364,328,284,284,284,328,444,355,251,284,273,280,1.0,1.0,0
386,403,317,328,328,284,324,240,273,240,273,284,2.0,1.0,1
324,273,295,328,295,361,314,394,361,218,218,273,1.0,0.5,1
424,295,317,284,317,218,404,306,394,207,251,229,0.5,1.0,0
284,207,185,174,196,229,274,240,196,295,196,262,1.0,1.0,0
324,251,262,295,273,196,344,262,262,262,262,262,1.0,2.0,0
284,174,218,229,229,328,244,141,152,130,229,284,2.0,1.0,1
504,328,372,328,372,306,324,280,405,309,295,188,2.0,2.0,1
294,247,190,251,229,317,338,207,238,247,196,188,1.0,1.0,0
354,383,273,174,273,295,324,260,317,260,317,188,1.0,1.0,1
292,192,181,243,203,262,344,251,251,229,229,306,1.0,1.0,0
350,328,240,328,240,251,284,196,284,196,196,152,2.0,1.0,1
374,306,284,262,284,394,334,324,247,196,269,320,0.25,2.0,0
334,408,315,227,320,405,284,251,317,240,207,185,1.0,1.0,1
324,251,284,482,317,394,344,350,284,229,284,339,1.0,1.0,0
324,196,240,317,240,229,304,295,196,295,196,185,2.0,0.5,1
304,225,214,225,214,249,292,273,185,247,181,207,1.0,1.0,1
404,438,416,328,306,306,364,361,284,251,229,313,0.0,1.0,0
364,515,361,196,339,273,384,394,302,262,346,337,4.0,2.0,1
364,317,289,240,289,273,284,284,328,174,174,152,0.25,2.0,0
304,251,344,339,344,298,318,284,309,284,300,273,2.0,0.5,1
364,328,372,416,438,350,386,267,306,392,306,346,2.0,0.5,1
384,311,273,311,295,240,362,328,284,350,306,375,2.0,2.0,0
344,438,416,251,328,273,414,416,317,229,251,207,1.0,1.0,1
354,335,284,262,284,311,330,317,251,284,267,350,0.5,2.0,0
394,361,306,284,306,240,320,317,236,262,236,322,1.0,1.0,1
384,273,273,306,328,262,304,251,344,339,344,298,0.5,2.0,0
304,214,203,210,199,240,352,315,397,227,364,152,1.0,4.0,0
360,337,280,458,361,328,326,280,317,232,236,234,2.0,0.25,1
338,383,196,174,174,236,416,438,262,535,372,416,1.0,1.0,0
334,240,273,350,375,249,416,350,306,447,306,394,1.0,1.0,0
340,471,317,251,361,350,294,295,262,196,196,240,4.0,1.0,1
338,207,238,247,196,188,354,317,256,383,317,291,0.5,0.5,0
294,416,394,416,405,174,714,130,130,273,405,229,1.0,1.0,1
444,328,295,174,295,207,324,282,311,223,298,185,0.5,0.5,1
324,273,207,251,218,229,344,350,262,361,262,306,2.0,2.0,0
304,218,196,174,174,218,264,163,185,207,174,152,0.5,1.0,0
414,460,229,174,229,405,318,161,298,161,298,159,2.0,1.0,1
384,240,262,273,262,207,354,284,317,306,328,218,2.0,2.0,0
404,328,328,328,328,328,364,284,218,196,218,163,0.5,2.0,0
544,357,251,207,229,269,386,306,267,306,392,346,2.0,2.0,1
314,306,284,218,339,320,354,262,262,324,262,313,1.0,1.0,1
420,328,375,287,317,317,504,328,372,328,372,306,2.0,2.0,0
284,229,262,207,240,174,308,306,229,236,245,240,1.0,1.0,0
380,309,289,262,383,326,284,251,196,284,196,251,2.0,0.5,1
294,163,218,163,163,185,344,284,218,185,185,185,1.0,0.25,1
384,240,240,196,196,196,314,207,218,207,251,284,0.0,2.0,0
294,317,218,196,218,273,288,223,256,194,232,218,1.0,2.0,0
344,293,262,251,262,221,304,218,278,317,278,309,2.0,1.0,1
344,295,416,295,262,152,324,163,185,262,284,240,1.0,1.0,1
294,295,218,229,218,251,374,273,278,262,339,315,1.0,2.0,0
374,339,295,196,218,196,288,174,207,232,225,194,0.5,2.0,0
456,397,317,397,324,326,344,315,218,315,218,254,1.0,1.0,1
334,284,416,196,262,262,346,333,280,223,229,311,2.0,1.0,1
